sourceurl,company_name,company_homepage_url
"https://theorg.com/companies/y-1","YACHTICO Yacht Charter","https://www.yachtico.com"
"https://theorg.com/companies/y-1","Yacht","https://www.yacht.nl/"
"https://theorg.com/companies/y-1","YachtCloser","https://www.yachtcloser.com/"
"https://theorg.com/companies/y-1","Yachiyo of America Inc.","https://www.yachiyo-of-america.com"
"https://theorg.com/companies/y-1","Yada Media","https://yadamedia.io/"
"https://theorg.com/companies/y-1","Yacht Week","https://www.theyachtweek.com/"
"https://theorg.com/companies/y-1","Yacoub Elite Search","https://www.yacoubelite.com/"
"https://theorg.com/companies/y-1","Yachtalia","https://yachtalia.com"
"https://theorg.com/companies/y-1","Yachtcancun","https://www.yachtcancun.com"
"https://theorg.com/companies/y-1","Yaddly","https://yaddly.com/"
"https://theorg.com/companies/y-1","Yachad","https://www.yachad.org"
"https://theorg.com/companies/y-1","YaClass","https://www.yaclass.in"
"https://theorg.com/companies/y-1","Yadkin Bank","https://www.yadkinbank.com/"
"https://theorg.com/companies/y-1","YADKIN COUNTY SCHOOLS","http://www.yadkin.k12.nc.us"
"https://theorg.com/companies/y-1","Yactraq Online Inc.","https://www.yactraq.com"
"https://theorg.com/companies/y-1","yad2","https://www.career.yad2.co.il/"
"https://theorg.com/companies/y-1","Yad Vashem","https://www.yadvashem.org/"
"https://theorg.com/companies/y-1","Yago Solutions","https://www.yagosolutions.com/"
"https://theorg.com/companies/y-1","Yahara Materials, Inc.","https://yahara.com"
"https://theorg.com/companies/y-1","Yakadanda","https://www.yakadanda.com"
"https://theorg.com/companies/y-1","Yaga",""
"https://theorg.com/companies/y-1","Yagem Teknolojileri A.Ş.",""
"https://theorg.com/companies/y-1","Ya Horng Electronic Co","http://www.yahorng.com"
"https://theorg.com/companies/y-1","YaiGlobal","https://yaiglobal.com"
"https://theorg.com/companies/y-1","YAK","https://yaktractors.com/"
"https://theorg.com/companies/y-1","Yafen Lightings and Ceiling Fans",""
"https://theorg.com/companies/y-1","Yagi Tsusho America Inc.","https://www.yagitsu.co.jp/english/"
"https://theorg.com/companies/y-1","Yaizu Suisankagaku Industry Co Ltd","https://www.yskf.jp/"
"https://theorg.com/companies/y-1","Yaeger Advisory","https://yaegeradvisory.com/"
"https://theorg.com/companies/y-1","Yair Air Conditioner","http://yair.cn"
"https://theorg.com/companies/y-1","Yafa","https://www.yafa.com/"
"https://theorg.com/companies/y-1","Ya Joe","https://www.yajoe.com/"
"https://theorg.com/companies/y-1","Yae! Organics","https://yaeorganics.com/"
"https://theorg.com/companies/y-1","Yahoo","https://au.yahoo.com"
"https://theorg.com/companies/y-1","Yaiks","https://www.yaiks.com"
